dialect,standard
いいちゃ,いいってば
いいっちゃ,いいってば
いいつ,いいもの
いいない,言いなさい
いいばち,いい気味
いいやん,いいじゃないの
いうてんが,そうは言っても
いがく,湯がく
いかなこてえ,さすがに
いがむ,ゆがむ
いかれん,いけない
いかれん,良くない
いかんじ,行かないで
いかんど,いけないぞ
けさんじ,消さないで
言わんじ,言わないで
いかんした,床の下
いかんすな,行かないでください
いきださん,行けない
いきたむながる,行きたくない素振りをする
いきちいた,行き着いた
いきちいた,行くところまで行った
いきづむ,息をつめて腹に力を入れる
いきとうねえ,行きたくない
いきよい,勢い
いきよる,行っている
いくる,埋める
いぐる,掘り出す
いげちねえ,かわいそう
いけめえ,行けないだろう
いけれん,行けない
いけれん,行きたくない
いけん,良くない
いけん,悪い
いけん,行けない
いこうえ,行こうよ
いごく,動く
いごいち,動いて
いごきよる,動いている
いころ,気力
いころ,根性
いさぎい,潔い
いさぎい,勇ましい
いさぎい,元気がある
いさぶる,揺さぶる
いしいじ,急いで
いじがいい,機嫌が良い
いぜ,井手
いぜ,水路
いちごんもねえ,とても感謝している
いちべえ,いっそう
いちべえ,一段と
いっかくる,ひっかける
いっかけ,行きがけ
いっかけ,行く前に
いっかけ,行く途中に
いつかやす,一気に捨てる
いつかやす,覆す
いっこむ,放り込む
いっこん,一個
にこん,二個
さんこん,三個
いっしぇる,なくなる
いっしぇる,紛失する
いっすんずり,渋滞
一寸ずり,渋滞
いっすんひとはずみ,危機一髪
一寸ひとはずみ,危機一髪
一寸一弾み,危機一髪
いっち,行って
いっちみる,行ってみて
いっちくれ,行ってくれ
いっちぇん,いつでも
いつでん,いつでも
いってん,いつでも
いっちょん,少しも
いっちょん,ちょっとも
いつでんこうじゃ,いつでもこうだ
いっぷくりゅう,頑固者
いっぺこっぺ,いっぱい
いっぺこっぺ,たくさん
いっぺんぎり,一度限り
いでる,ゆでる
いでもち,ゆで餅
いどこね,うたた寝
いに,犬に
いにい,犬に
とりい,鳥に
ねきい,猫に
いぬる,帰る
いぬる,去る
いのこ,井戸
いのちき,せいけい
いのちき,生計を立てる
いのちぎさねえ,潔くない
いのね,リンパ節の晴れ
いのね,しこり
いばかり,わがまま
いびかね,指輪
いびしい,気味が悪い
いびしい,根性が汚い
いぶ,水路
いぶしこぶし,でこぼこ
いみる,増える
いみる,増殖する
いやこつ,嫌味
いやこつ,愚痴
いやこつ,文句
いやこと,嫌味
いやこと,愚痴
いやこと,文句
いあり,アリ
いら,魚のウロコ
いらひじい,大変酷い
いらぶかす,たぶらかす
いらぶかす,騙す
いらぶかされちょる,騙されている
いらぶかされた,騙された
いらんこつ,要らないこと
いらんこつ,余計なこと
いるこつ,必要なこと
いらんしょわ,要らん世話
いるうちくせ,要らぬお世話だ
いるわんこつ,取り合わないこと
いれくる,ごまかす
いれくる,だます
いろく,乾燥する
いんげ,いいえ
いこう炊く,イカを炊く
かきゅうむく,柿をむく
ううけんこつ,たくさん
ううけんこつ,大きなこと
ううごつ,大ごと
ううちく,追っていく
ううちいく,追っていく
うすういう,嘘を言う
うすうつく,噓をつく
うたちい,汚い
うたちい,ズルい
うちとこ,私の家
うちとこ,私の家族
うちぶ,家事
うっする,うち捨てる
うったち,私たち
うちたち,私たち
うちどう,私たち
うったつる,補強する
うっとう,私たち
うっぷるう,打ち振るう
うどむ,うなる
うとんぼ,中が空洞
うばちまっこむ,降参する
うぶる,お湯を水でうめる
うむす,温める
うめえもん,うまいもの
うもすもねえ,有無を言わせない
うもねえ,不味い
うもねえ,うまくない
うらさき,先端
うるい,適度の雨
うろよこい,雨のための仕事休み
うわめくる,サボる
うんぷてんぷ,いちかばちか
ええとこさ,やっと
ええらしい,可愛らしい
ええらしい,愛しい
えらしい,可愛らしい
えらしい,愛しい
えぎい,えぐい
えぎい,渋味がある
えごうじょる,ゆがんでいる
えごわりい,不愛想な
えごんいい,笑顔の良い
えごんいい,愛想の良い
えじい,怖い
えじい,気味が悪い
えすろう,機嫌を取る
えすろう,へつらう
えち,相手
ええち,相手
えっぽど,よっぽど
えば,クモの巣
えば,クモの糸
えぶ,荷札
えぶ,伝票
えれえし,偉い人
えろかろう,偉いもんだね
えんぺつ,鉛筆
えんやっと,ようやっと
えんやっと,ようやく
おいい,多い
おおいい,多い
おいさん,おじさん
おいどう,俺たち
おれどう,俺たち
おいのこす,追い越す
おうじょうする,難儀する
おうじょうする,困る
おうちゃきい,横着だ
おえん,手に負えない
おおがっそう,髪が伸び放題
おおけがある,長持ちする
おおけんこたねえ,大したことはない
おおね,大方
おおね,もともと
おおばち,鷹揚すぎる
おけれん,起きれない
おこづる,調子に乗せる
おこづる,興奮させる
おごめん,ごめんください
おさんせん,お賽銭
おじい,恐ろしい
おしたし,おひたし
おしなぎい,勿体ない
おしょる,折る
おずがる,怖がる
おじがる,怖がる
おそゆる,教える
おそゆる,知らせる
おだたる,ふざける
おだたる,調子に乗る
おっちょる,居ている
おっとろっしゃのう,驚いた
おつん,落ちる
おつる,落ちる
おでえ,怖い
おてこむ,落ち込む
おてつく,落ち着く
おど,屁理屈
おとこし,男の人
おなごし,女の人
おねえどし,同い年
おばち,しっぽ
おらぶ,叫ぶ
おらん,いない
おりきらん,居られない
おりきらん,居たくない
おりよ,居なさい
おるかえ,いますか
おるる,降りる
おるる,下りる
おれれん,居られない
おれれん,居たくない
おろいい,粗悪な
おろいい,意地悪い
がいと,たくさん
がいと,ぐいっと
かいわるる,孵化する
かかえくうじ,抱え込んで
かかじる,ひっかく
かかじる,かきむしる
かかり,最初
かけえあわん,間に合わない
かけえあわん,やってられない
かけころす,死ぬまで面倒を見る
がさご,落ち着きのない子
かざむ,臭いを嗅ぐ
がしょうな,我慢強い
かぞゆん,数える
かたきんごつ,仇のように
かたきんごつ,徹底的に
かたぐる,担ぐ
かたつら,片方
かたでえ,する一方で
かたでえ,しながら
かたひる,半日
かたる,加わる
かちくらわす,ぶん殴る
かちこむ,打ち込む
かちこむ,叩き込む
がつ,ほど
がた,ほど
がな,ほど
かっする,加勢する
かっする,手伝う
かったなぎ,片っ端から
かっつりあう,ぶつかり合う
かてえ,硬い
かてる,加える
がながん,価格相応
かばしい,香ばしい
やりかぶる,やり損なう
眠りかぶる,眠り損なう
言いかぶる,言い損なう
かべなし,軒下
がまだす,精を出して働く
がまる,からかう
かもうちこれん,構ってくれない
かやる,帰る
からすのり,こむら返り
かるう,背負う
おれがん,俺の
誰がん,誰の
あんたがん,あなたの
がんがんだ,損得なしだ
がんたれ,粗末
がんたれ,質が悪い
かんまん,構わない
きい,来い
いっちきい,行って来い
きさねえ,汚い
きしゃねえ,汚い
きちゃねえ,汚い
きじょわしい,気忙しい
きちい,きつい
きのどきい,気の毒な
きび,気味
きびる,結ぶ
ぎぼ,突起
きもがるる,思い切ったことをする
きもがる,こまめに面倒を見る
きやす,消す
ぎゅうらしい,大げさな
ぎゅうらしい,仰々しい
やりきらん,やりきれない
飲みきらん,飲み切れない
食いきらん,食い切れない
きりめくせえ,焦げて臭い
くされ,意地悪な
くじ,不平
くじ,不満
くじ,愚痴
ぐずっともいわん,文句ひとつ言わない
ぐつ,決断
ぐつ,調子
ぐつにゅう,優柔不断
くぶる,くべる
くどろ,くず
ぐらぐらくる,腹が立つ
くりい,ください
くりい,くれ
ぐるぐるいえ,早く話せ
ぐるぐるいえ,急いで言え
くるくるまるめこむ,懐柔する
くるる,暮れる
ぐるる,怠ける
ぐるる,家出する
くれえ,くらい
こんくれえ,このくらい
どんくれえ,どのくらい
そんくれえ,そのくらい
くんずく,前かがみになる
くんづく,前かがみになる
くんだりむく,下を向く
くんだりむく,上座に座る
くんば,汲み場
あんたげ,あなたの家
うちんげ,うちの家
けえ,来い
はようけえ,早く来い
けえくりたまがる,非常に驚く
けえしょうもねえ,つまらない
けえしょうもねえ,ケチ
けえしょうもねえ,姑息だ
けえた,かいた
けえつまらん,全くつまらない
げさきい,下作だ
げさきい,下品だ
けしろっとしちょる,知らんふりをしている
けそつく,そわそわする
げたくそわりい,気分が悪い
げたくそわりい,運が悪い
げたくそわりい,縁起が悪い
けたくる,蹴りつける
けだらしい,気だるい
けだらしい,だらしない
けちいしかるん,けつに敷かれる
けちいしかるん,主導権を握られる
けっく,割と
けっく,結構
げってん,あまのじゃく
げってん,一癖ある人
けどが,けれども
けとろく,つまらない
けとろく,途方もない
けとろく,でたらめ
げな,らしい
げな,そうだ
けばる,気張る
けばる,力む
けん,だから
やけん,だから
けんたい,横柄
けんつう,意地悪
けんど,けれど
こいい,濃ゆい
こういい,濃ゆい
こいさ,今夜
こいた,こいつは
そいた,そいつは
こう,買う
こうべんねえ,要領が悪い
こうべんねえ,工夫がない
こええ,だるい
こうらどうか,これはどうか
ごがすかん,相性が悪い
ごがすく,腹が立つ
こがるる,焦げる
こがるる,焦がれる
ごきいたたん,役に立たない
こくる,コケる
ごぐる,くぐる
こぐる,もぐる
こげえ,こんなに
こげえ,こんなふうに
こげんこたあねえ,こんなことはない
ここじ,ここで
こわぐ,掻く
こさぐ,削る
こしきい,ずるい
こしきい,ケチ
こそあれ,まさにそれ
こそばいい,こそばゆい
こそぶる,くすぐる
こそろもそろ,全部
こそろもそろ,残さず
こたえん,すごく良い
こたゆる,疲れる
ごたる,のようだ
こたわん,影響を受けない
ごちあたま,頭でっかちな人
こつ,こと
こっけむっくり,慌てふためく
ごっこん,どんどん
ごっこん,じゃんじゃん
ごっそう,ごちそう
こっちべた,こっち側
こてえならん,役に立たない
ごしてん,怠け者
ごしてん,無精者
こてまる,かたまる
こなす,いじめる
こなす,鍛える
ごぬる,死ぬ
ごぬる,ごねる
こねる,くじく
こばす,気取る
こばしとる,気取ってる
こべえ,要領
こらいい,こらえろ
こらえじょうねがある,我慢強い
こり,これ
あり,あれ
そり,それ
どり,どれ
ごろじい,御覧じろ
ごろじい,御覧なさい
ころっと,すっかり
ころっと,全く
こわくる,壊れる
こわける,壊れる
こんせ,来てください
こんめえ,小さい
こんめえ,幼い
こんめえ,可愛い
こんやた,この野郎
こんやつ,こいつ
さいだす,差し出す
さかしい,元気だ
さかしい,出しゃばりだ
くちさかしい,口やかましい
さかしめ,逆さまに
さかとんぼり,とんぼ返り
さかとんぼり,逆立ち
ざかんひら,急斜面
さきのばん,一昨日の晩
さしい,させろ
さじい,素早い
さじい,抜け目がない
さじい,利にさとい
さする,たたき切る
さずる,かき集める
さぜくりおつる,転落する
さぜこむ,掻き込む
さぜこむ,かき集める
さっからさき,次から次
さであぐる,どんどん釣り上げる
さばくる,捌ける
さびい,寒い
さぶさぶ,鳥肌
ざまあねえ,体裁が悪い
ざまあねえ,だらしがない
ざまむねえ,たくさん
ざまむねえ,たいそう
あんし,あの人
こんし,この人
そんし,その人
んし,の人
しちゃる,してあげる
しちょく,しておく
しい,しなさい
しいちょる,好いている
しいらぐち,実のない話
しいらぐち,軽口
しかきい,四角い
まりい,丸い
まありい,丸い
しかつ,しかと
しかつ,はっきりと
じかつぼに,地面に直接
しかともしれん,くだらない
しきる,できる
じぐちがねえ,節度がない
しこ,支度
しこ,化粧
しこる,茂る
しこる,かさばる
しこる,構える
ししらさみい,肌寒い
ししらさみい,うすら寒い
したむながる,したがらない
しちから,して
しちくじい,くどい
しちくじい,しつこい
しちくれんし,してください
しちげってん,大偏屈者
しちみい,してみろ
しちめんどし,恥ずかしい
しちゃれ,してやりなさい
しちょけ,しておけ
しちょらん,してない
じちょをいるる,気合を入れる
しちょん,した
じってえ,実直な
しとめん,耐えられない
しとめん,我慢できない
じなし,いい加減
じなし,無責任だ
しなんな,しないで
しねくされ,意地悪
しねっと,こっそり
じねんと,自然と
しの,廃棄物
しの,収納品
しのする,廃棄する
しはてん,やり終えられない
しびく,しばく
しびり,痺れ
しびる,ちびる
しぼなゆる,しなびる
しまたつかん,始末がつかない
しもうた,しまった
じゃあに,なのに
しゃあねえ,仕方ない
しゃあねえ,世話ない
しゃげる,潰れる
じゃけんど,だけれども
しゃっち,無理に
しゃっち,ことさらに
じゃめなる,邪魔になる
しゃりむり,遮二無二
じゃろう,だろう
じゃろ,だろう
しゃんとこべえ,しっかり者
しゃんとこべえ,倹約家
しゅうたんなげる,悲しみに暮れる
しょう,根性
しょう,性根
んじょう,ばかり
ことんじょう,ことばかり
んじょうじ,ばかりで
せんじ,しないで
よこうてんじょうじ,休んでばかりで
しょうがしれちょん,素性が分かっている
しょうねがいい,物覚えが良い
じょうびい,丈夫だ
しよる,している
しよん,している
しょわしい,せわしい
しょわしい,うるさい
しょわねえ,世話ない
しょわねえ,大丈夫
しらざった,知らなかった
しらしんけん,一生懸命
しらしんけん,とても真剣に
しりあけどり,飽きっぽい
じりい,ぬかるんでいる
しろしい,鬱陶しい
しろしい,億劫だ
師走忘れ,忘年会
しわすわすれ,忘年会
字をおぼゆる,勉強ができる
じをおぼゆる,勉強ができる
しんきねえ,恥ずかしい
しんきねえ,じれったい
しんざみい,非常に寒い
しんどする,騒ぐ
しんのか,知るか
じんべらっと,順序良く
すいい,酸っぱい
すいばり,トゲ
ずうごろ,怠け者
ずうそう,だらしない
すうたく,嘘
すうら一面,辺り一面
すうらいちめん,辺り一面
すかんたらしい,好かない
すかんたらしい,嫌い
すかん,好かない
すかん,嫌い
せんずく,しないまま
ずくたん,頭
すくばる,すくむ
すくる,下に敷く
すくるる,寒さで縮こまる
すこどん,失敗
すっくりかえす,掘り返す
すっくりかえす,ひっくり返す
すったくろ,おかしなこと
すったり,さっぱり
すっとごつ,嘘ごと
すっとぼん,悪賢い男の子
すっとめろ,悪賢い女の子
すっとろく,嘘
すっとんかわ,嘘
ずつねえ,情けない
ずつねえ,苦痛だ
すっぺこっぺ,ああだこうだ
すつん,捨てる
すつる,捨てる
ずぼう,這う
すばゆる,おどける
すぼ,補欠
すぼくせえ,幼稚っぽい
すもしれん,くだらない
すもつくれん,くだらない
すもつくれん,役に立たない
すらごつ,空言
すらたく,嘘
すらとぼくん,空とぼける
ずりい,ずるい
ずりきい,ずるい
ずりくりおつる,ずり落ちる
ずる,移動する
するな？,しますか？
するなきねえ,するからね
すわぶる,しゃぶる
ずんだるる,垂れ下がる
ずんど,あまり
すんな,するな
すんのか？,するのか？
せがう,からかう
せがう,いじめる
せごう,からかう
せごう,いじめる
せかる,閉じる
せく,腹が痛む
ぜぜくる,ろれつが回らなくなる
せせろしい,うるさい
せちい,切ない
せちい,つらい
せっつく,うるさくつきまとう
せっつく,最速する
せど,狭い路地
せな,しないと
せな,しなきゃ
せな,しなさい
しなえ,しさい
せりこむ,押し込む
せる,押す
せるの,押すのを
せれれん,したくない
せれれん,できない
せんぐり,順繰り
せんすな,しなさんな
せんちんそだち,だらしない人
せんちん育ち,だらしない人
せんならん,しなければならない
せんねさき,つい先ほど
そいじ,それで
こいじ,これで
ぞうたん,雑談
そうちこ,そうですよ
いいちこ,いいですよ
そうちゃ,そうだ
そうちゃ,そうですよ
そうてえ,そうです
そうでえ,そうです
そきい,そこに
こきい,ここに
あっきい,あそこに
そげえ,そんなに
そげえ,そのように
そげん,そんな
そげな,そんな
そこらそんげ,いい加減に
そしち,そして
そずる,傷つく
そつ,外
そっここ,あちこち
そとぼこり,外で強い人
そとぼこり,外で誇る人
そびく,強く引く
そやけど,そうだけど
そら,上
そりき,それだから
そりやきい,それだから
それやけん,それだから
そりぎり,それっきり
あれぎり,あれっきり
そりくりかやる,そっくり返る
それっちゃ,それだ
そこっちゃ,そこだ
そろゆん,揃える
そんげ,そっち
そんなり,そのまま
だいい,だるい
たいらくこく,大言壮語を言う
たいらくこく,横柄な態度をとる
たえがねえ,情けない
たくねる,折り重ねる
だご,団子
たごかす,捻挫する
だだあ,びっくりしたあ
だだんたろく,値打ちがない
だだんたろく,役立たずな
だっしもねえ,だらしない
たったこしこ,たったこれだけ
たっぱい,体つき
たっぱい,体格
たな,ですね
たなあ,ですね
だぶとん,座布団
たぶる,食べる
たべきらん,食べきれない
たまがらかす,驚かす
たまがる,驚く
たゆう,だとさ
だらしい,だるい
だらしい,だらしがない
けえだらしい,だるい
けえだらしい,だらしがない
だり,誰
だりい,だるい
だりょぬく,疲れをとる
だんだんじゃ,いろいろだ
たんぬる,尋ねる
たんねほよくる,悪意を含んで尋ねる
っち,って
ちこ,です
ちこ,だってば
ちぢくる,縮む
ちちまわず,ぶん殴る
ちったあ,ちっとは
ちっとほず,少しばかり
ちびっと,ちょっと
ちゅうくれ,中くらい
ちゅうろくてん,有頂天
ちょうけえ,ちょっと来い
ちょうず,丁度
ちょうめんをけす,責任を果たす
しちょく,しておく
いっちょく,いっておく
食べちょく,食べておく
やっちょく,やっておく
ちょっきし,ぴったり
ちょびっと,ちょっと
しちょる,している
いっちょる,いっている
やっちょる,やっている
ふっちょる,ふっている
しちょれ,しておけ
みちょれ,見ておけ
ちんめえ,小さい
つうじいく,走っていく
つうだらだった,走ったら疲れた
つかゆん,つかえる
つきむき,正面切って
つくじる,ほじくる
つくなむ,しゃがむ
つごゆう,都合よく
つづ,つば
つついっぱい,精一杯
つっかけ,いきなり
つっくずす,突き崩す
つらがる,ふざける
つらくる,吊り上げる
つらづいい,厚かましい
つらびがもゆる,赤面する
つらびが燃ゆる,赤面する
つるっとする,居眠りする
つれえいく,連れに行く
つんのうち,連れ立って
つんむく,丸裸にする
てえげえ,大概
でえた,し始めた
でえた,できた
てえてえに,段々に
てえてえに,次々に
でえぶん,だいぶん
でえぶ,だいぶ
できらん,できない
でけん,できない
てのごい,手ぬぐい
てはつかん,手が付けられない
てはつかん,始末に負えない
てめえはみせん,早々に仕事を仕上げる
てめし,手弁当
でらんなる,出なくなる
てれっと,ぐずぐずする
てれんぱれん,ちゃらんぽらん
でん、,でも、
てんしょむしょ,めちゃくちゃ
でんぶ,全部
とう,届く
とう,達する
とわん,届かない
とわん,達しない
おいどう,俺たち
お前どう,お前たち
どうきん,ぞうきん
どうくる,ふざける
どうしち,どうして
とうてん,とっても
どうでん,どうも
どうでん,どうしても
どうでんこうでん,どうでもこうでも
どうど,どうぞ
とぎ,友達
どき,どこに
どきい,どこに
とぎった,尖った
どげえ,どのように
どんげえ,どのように
どげかえ,どうですか
どげんかえ,どうですか
どげでん,どうでも
どげえでん,どうでも
どげな,どうですか
どげんこげん,どうにもこうにも
どこいきな,どこに行きますか
どしこ,どれだけ
どしのいき,多人数の勢い
年寄りそこのう,年寄りになり損なう
どじれん,つまらない
どだいこだい,どうにもこうにも
とちけむねえ,途方もない
とちけむねえ,思いもよらぬ
とっと,とっても
とっと,全く
とっと,ずっと
どっとん,どんどん
とっぱごろ,大げさな話
とっぱごろ,大嘘
とっぺん,天辺
とっぽけん,山頂
ととつねんぼうする,驚き狼狽える
どばしこむ,ダイブする
とばしり,とばっちり
とばしり,飛沫
どぶる,水の中に入って歩く
どべ,最下位
どべ,ビリ
どまぐれち,間違って
とみい,止めろ
あっちどり,あっちの方へ
右どり,右の方へ
上どり,上の方へ
下どり,下の方へ
左どり,左の方へ
こっちどり,こっちの方へ
どれんこれん,どれもこれも
どこでんここでん,どこでもここでも
とわず,でたらめ
とわず,とんでもないこと
どんこんならん,どうにもならない
どんこんならん,どうしようもなく
とんぼうつ,倍になる
とんぼらとんぼら,ぽつんぽつんと
寝ない,寝なさい
しない,しなさい
なえ,地震
なおす,しまう
なおす,収納する
なごうなる,長くなる
なしか,なぜだ
なじるる,体が衰える
なずる,撫でる
なにえ,なんだって
なぬう,何を
なば,きのこ
なばになっちょる,元気がなくなってる
なむる,舐める
なろうじょくれ,並んでください
なんいいよんの,何を言ってるの
なん言いよんの,何を言ってるの
なんかかる,寄りかかる
なんかくる,投げかける
なんかなし,とにかく
なんぎな,情けない
なんくりかやす,ひっくり返す
なんげなし,何気なく
なんげなし,なんとなく
なんこむ,投げ込む
なんしい,なぜ
なんち,なんだって
なんちゃねえ,なんでもない
なんちゅうてん,何と言っても
なんでん,なんでも
なんとんしれん,何とも分からない
なんな,何だ
なんぼあんでん,いくら何でも
にぎい,逃げろ
にくせえ,憎たらしい
にげえ,苦い
にごじゅう,当たり前だ
にごじゅう,お手上げだ
にしにしする,頭痛がする
にびい,鈍い
にんげんよし,お人よし
ぬうじ,飲んで
ぬきい,温い
ぬれっと,隠れて図々しく
ねえこち,ないことに
ねえこち,いつになく
ねえちゃ,無いです
ねえっちゃ,無いってば
ねえなる,無くなる
のうなる,無くなる
ねえもんさがし,無くしたものを探す
ねき,側
ねき,根本
ねくうじょる,寝込んでいる
ねじい,捻じろ
ねじがいっちょる,しっかりしている
ねじきい,しつこい
ねたがわす,寝違える
ねちい,ねちっこい
寝なおる,本格的に寝る
ねねしい,粘り強い
ねぶる,舐める
ねらむ,睨む
ねんごくせえ,生意気だ
のいち,退いて
のうがわりい,頭が痛い
のじがねえ,長持ちしない
のうならかす,無くす
のうよい,なあおい
のごう,拭う
のさる,運命づけられる
のさん,手に負えない
のしとする,満足する
のっきから,のっけから
のったりそったり,だらしなく過ごす
のふどう,無作法
のふどう,横着
のみかた,酒宴
のや,そうだよな
のんぼりくんだり,行ったり来たり
はがいい,歯がゆい
バカビー,バカ女
バカボン,バカ男
ばく言う,馬鹿を言う
ばけしちょる,馬鹿にしている
ばけえしちょる,馬鹿にしている
はげらしい,歯がゆい
ばされえ,非常に
ばされえ,すごく
はじけえ,かゆい
はじけえ,うるさい
はたかる,手足を広げる
ばたぐるう,もがく
ばたぐるう,じたばたする
ばちくりあがる,疲労困憊する
ばちくりあわす,叩き潰す
はちわるる,割れる
ぱっちん,めんこ
はつる,はたく
はなんす,鼻の穴
はのう,花を
ばばいい,まぶしい
はばけん,捌けない
はばしい,激しい
はばしい,元気
ばばをあくる,相手にしない
ばばをあくる,距離を置く
はぶたかやす,激怒する
はまっちする,ハマってする
はりこむ,精を出す
はわく,掃く
ばんげ,夕方
はんごがわりい,ばつが悪い
ひきい,低い
ひきつりひっぱり,人間関係
ひくり,しゃっくり
ひこじる,引きずる
ひこじる,長引かせる
ひこずる,引きずる
ひこずる,長引かせる
ひじい,酷い
ひそう,久しく
ひだりい,ひもじい
びっすいい,酸っぱい
びったれ,だらしがない
びったれ,清潔感がない
びっちょ,だんご
ひっぺぎ,ゴザ
ひっぺぎ,上敷き
ひとかたうつ,一休み
ひとよさ,一晩
ひどる,下がる
ひどる,戻る
ひどる,尻込みする
ひねくりあぎい,捻り上げろ
びんびこ,肩車
ひやがる,干上がる
ひょうげもん,おどけ者
ひょくっと,突然に
ひょくな,突然な
ひよこし,火おこし
びよんす,ひ弱な人
ひらくち,かしこまらない
ひらくてえ,平たい
ひらくとなる,開き直る
ひろつく,空腹で落ち着かない
ひろつく,得をしようと動き回る
ひわるる,干割れる
ひわるる,痛手を被る
ひをつきい,明かりをつけろ
ひんがわりい,品が悪い
品がわりい,品が悪い
ひんのむ,勢いよく飲み込む
びんぼうぶるい,貧乏ゆすり
貧乏ぶるい,貧乏ゆすり
ふいつる,捨てる
ふうたらぬりい,遅い
ふうたらぬりい,生ぬるい
ふうたぬりい,遅い
ふうたぬりい,生ぬるい
ふうばる,ほおばる
ふうふづりい,夫婦揃って
夫婦づりい
ふきたて,焚き付け
ふくだむ,うずくまる
ふくましい,満腹で苦しい
ふげとれ,食いしん坊
ふげたれ,食いしん坊
ふすぼる,くすぶる
ふせくり,不平
ふせくり,不満
ふってこつ,大きなこと
ふてこつ,大きなこと
ふてこつ,たくさん
踏みたくじる,踏みにじる
ふみたくじる,踏みにじる
ふりいへえる,風呂に入る
ふんとかや,本当かい
ほんとかや,本当かい
へえがら,早くから
へえじ,剥いで
ぬうじ,脱いで
へがもうたような,つまらない
へこかえ,親友
べた,側
べたべったり,辺り一面に
へたらなげえ,いたずらに長い
へたれる,へたる
へたれる,へこたれる
へち,反対方向
へっちこっち,あべこべ
べっちゅうめ,酷い目
べっちゅう目,酷い目
へつらわん,相手にしない
へでんねえ,簡単だ
へでんねえ,問題ない
へのじゅう,変人
へのつっぱりにもならん,何の役にも立たない
へもどる,戻る
へもへちくれん,つまらない
へもへりかけん,相手にしない
へよ,いやなこった
べらぐりがやる,ひっくり返る
へえへえと,段々と
べらまけ,ぼろ負け
べらやく,お世辞を言う
へらをうつ,話を合わせる
へをかめ,嫌なこった
ほいたら,そしたら
ほいちかる,それから
ぼうずる,熱中する
ほうちでんいく,這ってでも行く
ほうやく,いい加減な話
ほうよのう,そうだよねえ
ぼくした,失敗した
ぽくと,突然
ぼくとぎれ,棒切れ
ほげる,穴が開く
ぼしこむ,押し込む
ほたぐりかやす,放っておく
ほたる,捨てる
ほたる,放る
ほたをひろう,儲けものをする
ほところ,ふところ
ほめく,乗り気になる
ほめく,わくわくする
ほめく,火照る
ほらきおつる,転がり落ちる
ほらきおつる,滑り落ちる
ほらけおつる,転がり落ちる
ほらけおつる,滑り落ちる
ほらける,転ぶ
ぼる,漏れる
ほんこ,本番
ほんぼ,かわいい
まあいっぺん,今一度
まくばる,公平に分配する
まくり,加勢しあう
まくる,安くする
まくる,負ける
またごす,跨ぐ
