dialect,standard
たこをあぐるちゅうけん、天ぷらにするかと思えばたこあげかえ？,たこをあげると言うから、天ぷらにするのかと思えば、たこあげなのかい？
あんしは、いっつもあげえあるんで,あの人はいつもあんな感じなんだ
大雨で列車が運休、あげくのさんぱち駅で寝た,大雨で列車が運休、挙句の果てに駅で寝た
あげな大きいタイは、初めて釣ったで,あんな大きなタイは、初めて釣ったよ
あけなんこな話、正月の当直はよだきい,ぶっちゃけた話、正月の当直は面倒くさい
母ちゃんは、外から帰ると家をあけはたくる,母ちゃんは、外から帰ると家を開け放つ
あんしはあごしじゃから、秘密は守れんで,あの人はおしゃべりなひとだから、秘密は守れないよ
あんやた、あごたんのじょうでなんもすらせん,あんた、口先ばかりで何もしない
昨日の仕事は長時間で、あごでえた,昨日の仕事は長時間で、きつかった
あんしはあごんじょうで、なあんもせん,あの人は口先ばかりで、何もしない
あさっぱちから、町内一斉清掃にでちきた,朝早くから、町内一斉清掃に出てきた
あさまんくちの散歩が、わしん健康法じゃ,朝間の口の散歩が、わしの健康法だ
新型のスマホを買おうと、あさんつうから並ぶ,新型のスマホを買おうと、朝早くから並ぶ
こんかかしは手間をかけち作っちょる、あじろしい,このかかしは手間をかけて作っている、うまくできている
砂浜をはだしで歩くと、あしんはらが心地いい,砂浜をはだしで歩くと、足の裏が心地いい
今晩釣りにいっち、ほいち、連れたらあすなさ魚をもっちいくわ,今晩釣りに行って、もし、釣れたら明日の朝魚を持っていくわ
店に寄ったが品切れで、あだあしじゃった,店に寄ったが品切れで、無駄足だった
兄ちゃんは、あたで県外に転勤になった,兄ちゃんは、急に県外に転勤になった
今朝から頭がうつ,今朝から頭が痛い
あたりくりまわすのは、やめよ,さわりまくるのは、やめよ
机の上にある書類には、あたるな,机の上にある書類には、触るな
あちゃー、学校さぼって遊びにいきよら向こうから先生がきよん,あらー、学校さぼって遊びにいってたら向こうから先生が来てる
あっきい歩きよるんは母ちゃんじゃねえか、どきい行きよるんじゃろ,あそこに歩いているのは母ちゃんじゃないか、どこに行ってるんだろう
行くところもねえに新車をこうち、あったれえ,行くところもないのに新車を買って、もったいない
あっちあられん、息子が先に起きた,到底あり得ない、息子が先に起きた
じいちゃんが、あっちんほうから帰っちきよる,じいちゃんが、あちらの方から帰ってきている
宿題は、あっとここしかしちょらん,宿題は、ところどころしかしていない
あっぱい服着て、今日は何事な,きれいな服着て、今日は何事だ
いじめらるるけん、もうあん子とはあっぱん,いじめられるから、もうあの子とは遊ばない
あてえなっち、初めて気づくこともあるんで,後になって、初めて気づくこともあるんだ
ライターか、あてこすりを貸しちょくれ,ライターかマッチを貸しておくれ
取れそうなメダルの数を、あてんぽかで言う,取れそうなメダルの数を、あてずっぽうに言う
あどが入らんなら、靴ベラを使いよ,かかとが入らないなら、靴ベラを使いなさい
夏休みのお化け屋敷は、あときびがわりい,夏休みのお化け屋敷は、後で思い出して気味が悪い
偉大な父親のあどのけもむしれん,偉大な父親に到底及ばない
雨上がりのジョギングは、あどばねに気を使うなえ,雨上がりのジョギングは、泥はねに気を付けないとね
プロ野球選手には、あねがかが多いこたる,プロ野球選手には、姉さん女房が多いようだ
わしのあねじょが嫁に行った先か、田中さんとこなんじゃわ,わしの姉さんが嫁に行った先が、田中さんのところなんだわ
お彼岸はおはぎ、正月はあぼじゃ,お彼岸はおはぎ、正月はもちだ
孫は井戸が強くなって、近頃はあまされん,孫は囲碁が強くなって、近頃はあなどれない
こんさあみいに、台所にあまめが出たで,こんなに寒いのに、台所にごきぶりが出たよ
どうやら今年はあまる日が多かったごたる,どうやら今年は落雷の日が多かったようにある
じいちゃんは、孫にあめえ,じいちゃんは孫に甘い
あめえ菓子でんすぐ食べさする,甘い菓子だとすぐ食べさせようとする
あめがたを口に入れてサイクリングに行こう,あめを口に入れてサイクリングに移行
近ごろの子の針仕事はあやくろしい,近ごろの子供の針仕事は不器用だ
自然にあやるんじゃ,自然に落下するんだ
運動会の騎馬戦は、だいたいあらきいやつが強い,運動会の騎馬戦は、だいたい手洗いやつが強い
テストで頑張って、母ちゃんのあらぎもとる,テストで頑張って、母ちゃんの度肝を抜く
ノックもせんじ戸をあくるとか、あらるっか,ノックもしないで戸を開けるとか、あり得るか
金は、ありいれちょる,金は、あれに入れている
残ったみかんをありしおくれ,残ったみかんをありったけおくれ
秋祭りの準備は、ありどんがやるんじゃ,秋祭りの準備は、あの人たちがやるんだ
ありょみよ、鉄棒にぶら下がったまま泣きよん,あれを見ろ、鉄棒にぶら下がったまま泣いてる
今度こそ本気でやると思うちょったが、あれと,今度こそ本気でやると思ってたが、あんなのだって
選挙後も、相変わらず、政治はあんがすえるなあ,選挙後も、相変わらず、政治はもたつくなあ
年度末になると、あんげこんげするしがふゆる,年度末になると、あっちこっちする人が増える
あんた、こんしと一緒に、あんしの所に行ってくれめえか,あんた、この人と一緒に、あの人のところに行ってくれないか
町内の班長は、来年、あんたげで,町内の班長は、来年、あなたの家だよ
あんたどう、どこの学校な、はよ帰らんな,あなたたち、どこの学校、はやく帰りなさいな
台風を前に塀を補強せんと、あんぴょうねえ,台風を前に塀を補強しないと、不安だ
人の嫌がる仕事は、いあたりわしんとこに回っちくる,人の嫌がる仕事は、やっぱりわしのところに回ってくる
今日は、いいあんべえに晴天じゃ,今日は良い塩梅に晴天だ
選挙に出よなんち言われたが、いいえなこと,選挙に出ろなんて言われたが、とんでもない
いいくじは、おいさんのいつもの癖じゃ,苦情を言うのはおじさんのいつもの癖だ
いいくれーなことやりよったら、試験におつるぞ,いい加減なことをやってたら、試験に落ちるぞ
わしが若者風の車にのったっち、いいこと,わしが若者風の車に乗ったって、いいではないですか
もう、いいころ飲んだけん帰ろうえ,もう、たくさん飲んだから帰ろうよ
稲を束ねるには、いいぜがいる,稲を束ねるには、藁をひも状にしたものがいる
いいちこ,いいですとも
いいちゃ、ここはわしが払うけん、いいっちゃ,いいってば、ここはわしが払うから、いいってば
うちのチームはいいつばかりじゃ,うちのチームは、いいものばかりだ
思ったことをいいない,思ったことを言いなさい
ずるいから人望もない、いいばちじゃ,ずるいから人望もない、いい気味だ
このシャツ、いいやん,このシャツ、いいじゃないの
からだがきちいち、いうてんが、いい仕事はなかなかないで,体がきついて、そうはいっても、いい仕事はなかなかないよ
パーティのおつまもに枝豆をいがく,パーティのおつまみに枝豆をゆがく
あんしのいびきは、いかなこてえ我慢の限界で,あの人のいびきはさすがに我慢の限界で
額縁がいがんじょらんかえ？,額縁がゆがんでいないかい？
わしの目がいがんじょんのじゃろうか,わしの目がゆがんでるのだろうか
いかれん,いけない
遊びにやらいかんじ、仕事せんかえ,遊んでいたらだめだ、仕事しないか
隣の猫が、いかんしたからでちきた,隣の猫が、床の下から出てきた
今日は霧がでちょるで、高速ではいかんすな,今日は霧がでてるから、高速ではいかないでください
美容院にいきださんうちに正月がきそうや,美容院にいけないうちに正月が来そうだ
今朝は、いきたむながりよったが、調べたら熱があった,今朝は、いきたくなさそうだったが、調べたら熱があった
あんしの会社はとうとう、いきちいたらしい,あの人の会社はとうとう、進退窮まったらしい
赤ちゃんがいきづむときは、おむつを確かめよ,赤ちゃんがふんばっているときは、おむつを確かめよ
学校にはいきとうねえ,学校にはいきたくない
最初のいきよいはどこへやら,最初の勢いはどこへやら
あそこにいきよるおういさんは、市役所にいきよる人じゃ,あそこを通るおじさんは、市役所に行っている人だ
ぎんなんは、何日かいくると臭い皮がとれちいいんじゃ,ぎんなんは、何日か土に埋めると臭い皮がとれていいんだ
イノシシがきち、畑のサツマイモをいぐる,イノシシが来て、畑のサツマイモを掘り出す
ペットを捨つるなんち、いげちねえことをするなあえ,ペットを捨てるなんて、かわいそうなことをするなよ
遠足にはいけめえ,遠足には行けまい
わたしは、海水浴だけでハワイまでいけれん,わたしは、海水浴だけでハワイまで行かれない
今度の会議にはいけんちゃ、そらいけんで,今度の会議に行けないのは、それはいけないよ
あんまりいごくもんじゃけん、写真がぶれた,あんまり動くものだから、写真がぶれた
技はねえけど、いころがある,技はないけど、根性はある
いさぎい返事じゃ,潔い返事だ
心をいさぶる楽曲じゃなえ,心を揺さぶる楽曲だねえ
こん子は生まれた時から、いじがいい,この子は生まれた時から、機嫌が良い
米の味は、いぜの水がいいかどうかにもよる,米の味は、水路の水が良いかどうかにもよる
いちごんもねえ,感謝で言葉も出ない
下手に出ると、いちべえ調子に乗るやつじゃ,下手に出ると、一層調子にのるやつだ
悪さする猫に水をいっかくると、飛び上がっち逃ぐる,悪さする猫に水をひっかけると、飛び上がって逃げる
本屋のいっかけにばあちゃんとこに寄る,本屋の行きがけにばあちゃんのところに酔う
雨水がバケツにいっぱいになったら、いっかやせ,雨水がバケツにいっぱいになったら、覆せ
この砂を全部、穴にいっこむんじゃ,この砂を全部、穴に放り込むんだ
そん柿をいっこんわしにくれんか,その柿を一個わしにくれないか
母ちゃんが元気がねえと思ったら、財布をいっしぇたんと,母ちゃんが元気がないと思ったら、財布を無くしたって
サッカー場からの帰りは、車がいっすんずりじゃった,サッカー場からの帰りは、車が渋滞だった
いっすんひとはずみで、交通事故を免れた,すんでのところで、交通事故を免れた
図書館に、本を借りにいっちきた,図書館に、本を借りにいってきた
わしゃあ、いっちぇん、しらしんけんじゃ,わしは、いつでも、一生懸命だ
あんしの話は、いっちょん前に進まん,あの人の話は、ちっとも前に進まない
あんしのすることは、いつでんこうじゃ,あのひとのすることは、いつでもこうだ
あんしは、いっぷくりゅうじゃけど、いい仕事をしちくるん,あの人は、頑固者だけど、いい仕事をしてくれる
里にイノシシが、いっぺこっぺ出てきち悪さする,里にイノシシが、いっぱい出てきて悪さをする
見合いしたんじゃが、いっぺんぎりじゃ,見合いをしたんだけど、一度限りだ
温泉の噴気で、卵とタコを一緒にいでる,温泉の噴気で、卵とタコを一緒にゆでる
いどこねでは熟睡でけんし、疲れもとれん,仮眠では熟睡できないし、疲れも取れない
正月じゃけん、いに、新しい首輪をこうてやった,正月だから、犬に、新しい首輪を買ってやった
いぬるついでに、はがきを出しちょっちくりい,帰るついでに、はがきを出しててほしい
みんな、いのちきをしよるんで,みんな、生計を立ててるんだ
いのちぎさねえのは、見苦しいで,潔くないのは、見苦しいよ
足の付け根に、いのねができた,足の付け根に、しこりができた
幼児は眠くなると、いばかりを言い始める,幼児は眠くなると、わがままを言い始める
婚約のいびかねが目にまぶしいでなあ,婚約の指輪が目にまぶしいよなあ
冷蔵庫の中がいびしいことになっちょる,冷蔵庫の中が気味が悪いことになっている
あんしは、金にいびしい,あの人は金に汚い
今日は、いぶからこっち側の草を刈っちょくれ,今日は、水路からこっち側の草を刈ってほしい
新しい道は、いぶしこぶしがなくて快適だ,新しい道は、でこぼこがなくて快適だ
花の球根がいみる,花の球根が増える
暖かいと、雑菌がいみる,暖かいと雑婚が繁殖する
じいちゃんの話には、いやこつが多い,じいちゃんの話には、嫌味が多い
いやりとキリギリスの絵本をよんじょくれ,アリとキリギリスの絵本を読んでくれ
大きい魚のいらを落とすのはきちい,大きい魚のうろこを落とすのはきつい
カニに指を挟まれて、いらひじい痛さじゃった,カニに指を挟まれて、ひどい痛さだった
金持ちじゃあちゅうち、いらぶかされて結婚した,金持ちだと言って、騙されて結婚した
父ちゃんがいらんこつ言うたから、息子がでちいった,父ちゃんが要らんことを言うから、息子が出て行った
化粧がこいち、いらんしょわや,化粧が濃いなんて、要らん世話だ
いるうちくせ,要らぬお世話だ
ややこしい問題じゃから、いるわんかつじゃ,ややこしい問題だから、取り合わないことだ
母ちゃん相手に小遣いをいれくるこたでけんで,母ちゃん相手に小遣いをごまかすなんてできないよ
こう雨が降らんと、なんもんかんもいろくなあ,こう雨が降らないと、なにもかも乾燥するなあ
ばあちゃんは、慣れ手つきで稲をいわゆる,ばあちゃんは、慣れた手つきで稲を結わえる
隣のいんは、愛嬌がある,隣の犬は、愛嬌がある
いんげ、プロポーズしたんは父ちゃんからで,いいや、プロポーズしたのは父ちゃんからだ
いこう焼く,イカを焼く
かきゅうむく,柿をむく
今晩は、星がううけんこつ見ゆる,今晩は星がたくさん見える
ううけんこつ言うなや,大きなことを言うなよ
おおけんこつ言うなや,大きなことを言うなよ
長男の入園式の日に妻が産気づいて、ううごつじゃった,長男の入園式の日に妻がさんけづいて、大事だった
パトカーが盗難車両をううちく,パトカーが盗難車両を追っていく
国会に参考人で呼ばれても、うすういう,国会で参考人で呼ばれても、うそを言う
あんやた本当は、うたちいやつなんで,あいつは本当は、ずるいやつなんだ
わしも若いころは髪がうちかぶるごとあったんで,わしも若いころは髪が顔にかかるくらいあったんだ
町内運動会に、うちとこは全員出た,町内運動会に、うちの家は全員出た
かかが風邪でねこんじ、わしがうちぶをしよる,妻が風邪で寝込んで、わしが家事をしている
要らんもんは、うっすると部屋が片付く,要らないものはうち捨てると部屋が片付く
うったちは同じ中学出身じ、団結は強いんで,私たちは同じ中学出身だから、団結は強いんだよ
わしゃあ昔から、うったて大工と言われちょる,わしは昔から、補強する大工と言われている
うっつめは、今では禁止されちょるらしい,野鳥の罠は、今では禁止されているらしい
うっとうの修学旅行は、長崎方面じゃ,わたしたちの修学旅行は、長崎方面だ
上着をうっぷるうて、ほこりを落とす,上着を打ちふるって、ほこりを落とす
台風で倒れた大杉は、幹がうとんぼじゃった,台風で倒れた大杉は、幹が空洞だった
外交交渉で、うばちまっこむとつけこまるるで,外交交渉で、降参をすると付け込まれるよ
風呂が熱いけん、水でうぶるといい,風呂が熱いから、水で薄めるといい
この話は、むしちょこう,この話は、温めておこう
温泉にはいっち、うめえもん食うのが最高じゃ,温泉に入って、うまいものを食うのが最高だ
こん料理は、うまねえ,この料理は、美味しくない
いたんじょらせんかい,傷んでたりしないかい
竹竿のうらさきにトンボがとまっちょる,竹竿の先端にトンボが止まっている
私が訪れると、うらまいは豊漁に沸いていた,私が訪れると、海岸沿いの集落は豊漁に沸いていた
久しぶりのうるいじゃ、庭の木が喜びよる,久しぶりの雨だ、庭の木が喜んでいる
サボっちょるわけやないんで、うろよこいなんで,サボってるわけじゃないんだ、雨のための休みなんだ
校内清掃の日は、うわめくるなえ,校内清掃の日は、サボるなよ
他人に頼らんで、うんがもっと努力せな,他人に頼らないで、お前がもっと努力しないと
あんしはうのんぷてんぷな生き方をする,あの人は一か八かな生き方をする
不況だが、ええとこさここまでやっちきた,不況だが、やっとここまでやってきた
ばあちゃんも、わけえ時は、えーらしかったらしい,ばあちゃんも、若い時は、かわいらしかったらしい
伸びたタケノコを食べたら、えぎいのなんの,伸びたタケノコを食べたら、えぐいのなんの
母ちゃんのスクーターは、いつもバックミラーがえごうじょる,母ちゃんのスクーターは、いつもバックミラーが歪んでいる
少々安くても、えごわりい店には行かん,少々安くても、不愛想な店には行かない
いっつもえごんいいしじゃけん、尊敬するわあ,いつも笑顔のいいひとだから、尊敬するわ
墓地のそばを通る道は、わしゃあなんか、えじいんじゃわ,墓地のそばを通る道は、わしはなんか、怖いんだわ
あんしは上役にえすろうちばっかりおる,あの人は上役にへつらってばかりいる
孫のえちするんは、楽しいけどつかるん,孫の相手するのは、楽しいけど疲れる
孫のええちするんは、楽しいけどつかるん,孫の相手するのは、楽しいけど疲れる
数年たつが、復興はえっと進まん,数年たつけど、復興は久しく進まない
こげないい話を断るちゃ、えっぽどのこつで,こんなにいい話を断るとは、よっぽどのことだ
この家は、毎日んごと掃除せんと、部屋にえばが張る,この家は、毎日のように掃除しないと、部屋に蜘蛛の巣が張る
タグちゃなんかと思えば、えぶのことかえ？,タグかなんかと思えば、荷札のことか？
えれえしんじょう来てん、片付けははかどらん,偉い人が来てるから、片付けが捗らない
年寄りに説教するかえ、そりゃえろかろう,年寄りに説教するかい、それは偉いもんだね
今日は、新しいえんぺつで字を書こう,今日は新しい鉛筆で字を書こう
近ごろになって、えんやっと秋らしくなった,近ごろになって、ようやっと秋らしくなった
そりゃわしの分がおいいわ、あんたがもうちっと取りよ,それはわしの分が多いわ、あんたがもう少し取りなよ
親戚のおいさんが、お年玉をくれた,親戚のおじさんが、お年玉をくれた
町内会のごみひらいは、おいどうの番じゃけん忘れるんなえ,町内会のごみ拾いは、俺たちの番だから忘れるなよ
駅伝競走で、3人もおいのこすと気分がいい,駅伝競走で、3人も追い越すと気分がいい
秋には、あうくゎんの両側にマンジュシャゲの花が咲くんで,秋には、往還の両側にマンジュシャゲの花が咲くんだ
反抗期の子どもには、おうじょうする,反抗期の子どもには、難儀する
追っても逃げんカラスは、おうちゃきいなあ,追っても逃げないカラスは、横着だなあ
うちの犬は力が強いので、わしにはおえん,うちの犬は力が強いので、わしには手に負えない
伝説の大泥棒に、おおがっそうの人がおったなあえ,伝説の大泥棒に、髪が伸び放題の人がいたなあ
おつまみで、おおけがあるのはするめじゃ,おつまみで、長持ちするのはするめだ
駅まで歩いても、おおけんこたあねえ,駅まで歩いても、大したことはない
あんしは、おおねあげえあるみたいじゃ,あの人は、大方あのようにあるみたいだ
父ちゃんの浮気を何度も許すちゃ、おおばちな,父ちゃんの浮気を何度も許すとは、鷹揚すぎるな
化粧せんと、おかしいで,化粧しないと、恥ずかしいで
寒い朝は、なかなかおけれん,寒い朝は、なかなか起きれない
子どもをおこづると、夜中まで眠れんごとなる,子どもを調子に乗せると、夜中まで眠れなくなる
おごめん、わしじゃけど,ごめんください、わしだけど
おこんぼを着ると、赤ちゃんもお母さんもぬきい,ねんねこを着ると、赤ちゃんもお母さんも暖かい
初詣のおさんせんは、だいたいなんぼしよん？,初詣のお賽銭は、だいたいいくらしてる？
ゆうべ、おじい夢を見た,ゆうべ、恐ろしい夢を見た
生活習慣病の予防に、おしたしを食べよる,生活習慣病の予防に、おひたしを食べてる
バットをおしょるぐらいの剛速球投げろ,バットをへし折るぐらいの剛速球を投げろ
ジェットコースターに乗りたがるくせに、乗ると、おずかる,ジェットコースターに乗りたがるくせに、乗ると、怖がる
学校に、英会話をおそゆる外国人の先生が来た,学校に、英会話を教える外国人の先生が来た
保護者が甘い顔をすると、子どもはおだたる,保護者が甘い顔をすると、子どもはふざける
お盆には、おっさんがお経をあげに来る,お盆には、お坊さんがお経をあげに来る
村役場に鈴木さんちゅうしは、おっちょるな,村役場に鈴木さんって人は、居ているよな
おっとろっしゃのう,驚いた
隣の赤ちゃんは、おっぽすると泣き止む,隣の赤ちゃんは、おんぶすると泣き止む
サルも木からおつんち、言うじゃろう,猿も木から落ちるって、言うだろう
今日は、はようかえらな、母ちゃんがおでえ,今日は、早く帰らないと、母ちゃんが怖い
きのどきいとは思うが、おてこんじょる場合やねえで,気の毒だとは思うが、落ち込む場合じゃないよ
あんたは、こげなところにおてつく人じゃねえ,あんたは、こんなところで落ち着く人じゃない
おど言うちょらんで、若いもんの意見に従いよ,屁理屈を言ってないで、若い人の意見に従いよ
おとー、母ちゃんに3億円当たった夢を見た,びっくりしたあ、母ちゃんに3億円当たった夢を見た
もうちっと、おとこしを集めてくれんな,もうちょっと、男の人を集めてくれないか
小銭をおとしに入れちょいたで,小銭をポケットに入れておいたよ
お昼はおどろと漬物じゃけど、いいかえ？,お昼はうどんと漬物だけど、いいかい？
おなごしが多いと、にぎやかでいいわあ,女の人が多いと、にぎやかでいいわ
あんたたち夫婦は、おねえどしには見えんで,あんたたち夫婦は、同い年には見えない
クジラは、おばちの模様で固体を識別できる,クジラは、しっぽの模様で固体を識別できる
酔って、おらびたくじりよったが覚えちょるか,酔って叫んで回っていたが覚えているか
絶叫大会で、おらびよるところがニュースに出た,絶叫大会で、叫んでるところがニュースに出た
そげなしはおらんで、おったっちあんただけじゃ,そんな人はいないよ、居たっていうのはあんただけだ
こげな天気のいい日には、家の中におりきらん,こんな天気のいい日には、家の中に居られない
もうちっとおりよ、父ちゃんがかえっちくるけん,もう少し居なよ、父ちゃんが帰ってくるから
おりん傘持っちいったのは誰じゃろうか,俺の傘を持って行ったのは誰だろうか
おるかえ？グラウンドゴルフしに行こうえ,いますか？グラウンドゴルフしにいこうよ
バスからおるるときは、段差に気をつけよ,バスから降りるときは、段差に気を付けよう
東京は人と車が多くて、そう長くはおられん,東京は人と車が多くて、そう長くはいられない
あんしはおろいいけん、用心しよえ,あの人は意地が悪いから、用心しなよ
赤ちゃんが泣き止むまで、おんぼしようか,赤ちゃんが泣き止むまで、おんぶしようか
川で泳ぐと、がーたろにしりこだまぬかるるど,川で泳ぐと、かっぱにしりこだま抜かれるぞ
こげえ打たれよんに、はようピッチャーかいい,こんなに打たれてるのに、早くピッチャー変えろ
クレオパトラ似の美人、がいいやん,クレオパトラ似の美人、がいいじゃない
坂道を自転車で登ったら、がいがさがった,坂道を自転車で登ったら、筋肉痛になった
がいと釣れたけんもっちいくわ,たくさん釣れたから持って行くわ
そろそろヒナがかいわるるころで,そろそろヒナが孵化するころだ
同窓会幹事の役をかかえくうじ、困っちょる,同窓会幹事の役を抱え込んで、困っている
うちの猫は、床柱までかかじるんで困る,うちの猫は、床柱まで引っかかるから困る
橋を渡っち、かかりの家じゃ,橋を渡って、最初の家だ
急がんと、かけえあわんで,急がないと、間に合わないよ
隣の嫁は、ばあちゃんをかけころすそうじゃ,隣の嫁は、ばあちゃんを死ぬまで面倒を見るようだ
かさん方から、しもん方にミカンをうっち歩く,山の方から、下の方へミカンを売って歩く
おまえは、がさごじゃのう,お前は落ち着きのない子だな
ネコが、魚の入った袋を念入りにかざむ,ネコが、魚の入った袋を念入りに臭いを嗅ぐ
がしょうなしだけあって、最後は勝ったなあ,我慢強い人なだけあって、最後は勝ったなあ
干しシイタケは調理の前に、水にかす,干しシイタケは調理の前に、水に浸す
神社の境内に、かずわらが来て、みんなじ見に行った記憶がある,神社の境内に、サーカスが来て、みんなで見に行った記憶がある
年末になると今年もあと何日か、ついかぞゆんなあ,年末になると今年もあと何日か、つい数えてしまうなあ
おまえはそんズボンをかたきんごつはくのう,おまえはそのズボンを敵のようにはくなあ
若い衆がみこしをかたぐる,若い衆がみこしをかつぐ
わたしは今でん髪油は、かたしの天然物や,わたしは今の髪油は、ツバキの天然物だ
かたつらだけの肩を持ったら、ケンカになった,片方だけの肩を持ったら、ケンカになった
試験勉強するかたでえ、深夜放送を聞く,試験勉強をする一方で、深夜放送を聞く
部屋の片づけをしたら、かたひるかかった,部屋の片づけをしたら、半日かかった
かだらを大事にせにゃあ,体を大事にしないと
俺もサッカーにかたる,俺もサッカーに加わる
わしもかてて,わしも加えて
あんまり馬鹿にすると、かちくらわすぞ,あんまり馬鹿にすると、ぶん殴るぞ
さあ金メダルポイントじゃ、スパイクかちこめ,さあ金メダルポイントじゃ、スパイク叩き込め
役員になったがつのことはしたんかえ？,役員になったほどのことはしたのかい？
握り飯が余るごたら、食べちかっするで,握り飯が余るようなら、食べに加勢するよ
駅伝の応援に行ったら、かったなぎ抜くところが見られた,駅伝の応援に行ったら、片っ端から抜くところが見られた
朝市は、かっつりあうほどの人出だった,朝市は、ぶつかり合うほどの人出だった
隣から、自転車の空気入れをかってこい,隣から、自転車の空気入れを借りてこい
相手チームの守備が、かてえんじゃ,相手チームの守備が、かたいんだ
あんしをかてるかえ？,あの人を加えるかい？
おごめん、100円がなうっちょくれ,ごめんください、100円だけ売ってくれ
旅先で安い買い物をしたが、がながんじゃった,旅先で安い買い物をしたが、価格相応だった
かばしいにおいがすんなあ,香ばしいにおいがするなあ
興奮しち、会議で思わすいいかぶった,興奮して、会議で思わず言いそこなった
雨じゃ、外の洗濯物をかべなしにいれちょけ,雨だ、外の洗濯物を軒下に入れておけ
イモは、かまぎにつめち、倉庫で保存しちょちくりい,イモは、かますに詰めて、倉庫で保存しておいてくれ
稲刈りで隣のおいさんが、がまだしよるで,稲刈りで隣のおじさんが、精を出して働いてるよ
昔のかまやは、薄暗くて仕事がしづらかった,昔の炊事場は、薄暗くて仕事がしづらかった
兄ちゃんは、幼稚園の弟をがまる,兄ちゃんは、幼稚園の弟をからかう
子どもはやがて、親にかもうちくれんごとなる,子どもはやがて、親に構ってくれなくなる
父ちゃんが作った犬小屋は、風が吹くとかやる,父ちゃんが作った犬小屋は風が吹くとひっくり返る
退院したばかりやに、酒飲んだりからこしたら悪かろうが,退院したばっかりなのに、酒飲んだりなんかしたら悪いだろうが
力入れて自転車をこいだら、からすのりがした,力入れて自転車をこいだら、こむらがえりをした
大水が出て、ばあちゃんをかるうて逃げた,大水が出て、ばあちゃんを背負って逃げあｔ
わしゃあ、カレーはかれえ方が好きじゃ,わしはカレーは辛い方が好きだ
これはおれがんや,これはおれのだ
誰がんのでも良かろう,誰のでも良いだろう
かんからに赤い実がなると、ふるさとを思い出す,サルトリイバラに赤い実がなると、ふるさとを思い出す
先日の営業は、がんがんじゃったなあ,先日の営業は、損得なしだったなあ
かんころは、近ごろのわかいしの口にはあわんごたる,サツマイモの切り干しは、近ごろの若い人の口にはあわないようだ
北海道のカニの味噌汁は、がんじるとは別物や,北海道のカニの味噌汁は、カニ汁とは別物だ
あんやたがんたれじゃけん、話半分にきいちょけ,あいつはタチが悪いから、話半分に聞いておけ
